electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,Pcap,distancia_m
,,,,,,,,0,Farmacias Salcobrand,parking,,,,Vitacura,-70.5631115,-33.391794199999985,parking,25,
,,,,,,,,0,Plaza El Dorado,parking,,,,Vitacura,-70.5535666,-33.3895462,parking,25,
,,,,,,,,0,Los Alpes,,supermarket,,,Vitacura,-70.5986368,-33.40597329999999,supermarket,10,
,,,,,,,,0,,parking,,,,Vitacura,-70.592347,-33.3860435,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.5495993,-33.3862981,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.5500931,-33.38537759999999,parking,25,
,,,,,,,,0,Burger King,parking,,,,Vitacura,-70.5656225,-33.3880764,parking,25,
,,,,,,,,0,Colegio San Pedro Nolasco,parking,,,,Vitacura,-70.5723204,-33.39789890000001,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.59128630000001,-33.385542900000004,parking,25,
,,,,,,,,0,Unimarc,,supermarket,,,Vitacura,-70.586186,-33.39900049999999,supermarket,10,
,,,,,,,,0,,parking,,,,Vitacura,-70.59277160000002,-33.4003628,parking,25,
,,,,,,,,0,Shell,fuel,,,,Vitacura,-70.5724434,-33.3950498,fuel,10,
,,,,,,,,0,Enel X,charging_station,,,,Vitacura,-70.5870519,-33.39873539999999,charging_station,30,
,,,,,,,,0,,parking,,,,Vitacura,-70.5793592,-33.4009814,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.5704626,-33.3909827,parking,25,
,,,,,,,,0,Copec Voltex,charging_station,,,,Vitacura,-70.5893849,-33.38249029999999,charging_station,30,
,,,,,,,,0,,parking,,,,Vitacura,-70.5641362,-33.3615633,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.5993596,-33.3991236,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.5898894,-33.3998495,parking,25,
,,,,,,,,0,Sede Vitacura Universidad Adolfo Ibáñez,university,,,,Vitacura,-70.5862012,-33.380317899999994,university,10,
,,,,,,,,0,,car_wash,,,,Vitacura,-70.5333485,-33.37549500000001,car_wash,2,
,,,,,,,,0,Enel X,charging_station,,,,Vitacura,-70.5852148,-33.38016209999999,charging_station,30,
,,,,,,,,0,Centro de Formación Técnica INSALCO,university,,,,Vitacura,-70.5694265,-33.3954267,university,10,
,,,,,,,,0,Copec Voltex,charging_station,,,,Vitacura,-70.5320812,-33.37509169999999,charging_station,30,
,,,,,,,,0,,charging_station,,,,Vitacura,-70.5700283,-33.38961629999999,charging_station,30,
,,,,,,,,0,,charging_station,,,,Vitacura,-70.567688,-33.3866467,charging_station,30,
,,,,,,,,0,,parking,,,,Vitacura,-70.6115719,-33.4078075,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.6108909,-33.4080631,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.601036,-33.397933200000004,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.5911556,-33.3818135,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.5446191,-33.3879794,parking,25,
,,,,,,,,0,Copex Voltex,charging_station,,,,Vitacura,-70.5895621,-33.38212310000001,charging_station,30,
,,,,,,,,0,,car_wash,,,,Vitacura,-70.5983272,-33.405333,car_wash,2,
,,,,,,,,0,Enel X,charging_station,,,,Vitacura,-70.5713851,-33.3770109,charging_station,30,
,,,,,,,,0,Enel X,charging_station,,,,Vitacura,-70.5697682,-33.379970799999995,charging_station,30,
,,,,,,,,0,Flash Wash,car_wash,,,,Vitacura,-70.57537503720937,-33.39900454120977,car_wash,2,
,,,,,,,,0,,,,office,,Vitacura,-70.5404654708919,-33.381512153442635,office,8,
,,,,,,,,0,,,,office,,Vitacura,-70.5408336324535,-33.38100474528007,office,8,
,,,,,,,,0,Clínica Tabancura,hospital,,,,Vitacura,-70.53532379689483,-33.38197693317841,hospital,6,
,,,,,,,,0,,,,commercial,,Vitacura,-70.57700695021,-33.39946079997513,commercial,10,
,,,,,,,,0,Universidad Técnica Federico Santa María Campus Vitacura,university,,,,Vitacura,-70.57748023317137,-33.377506648404264,university,10,
,,,,,,,,0,Universidad Técnica Federico Santa María,parking,,,,Vitacura,-70.57690584064821,-33.378102522414856,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.54464914994688,-33.37592097609956,parking,25,
,,,,,,,,0,Estacionamiento oriente CSPN,parking,,,,Vitacura,-70.572796449554,-33.39818785044815,parking,25,
,,,,,,,,0,Estacionamiento poniente CSPN,parking,,,,Vitacura,-70.573380927889,-33.39843690076588,parking,25,
,,,,,,,,0,Estacionamiento Stripcenter Las Condes/Sn. Fco de Asis,parking,,,,Vitacura,-70.51817985532392,-33.3724225892805,parking,25,
,,,,,,,,0,,,,office,,Vitacura,-70.59918684265767,-33.404662370513854,office,8,
,,,,,,,,0,,,,commercial,,Vitacura,-70.59883627965944,-33.40191345556723,commercial,10,
,,,,,,,,0,Jumbo,,supermarket,yes,,Vitacura,-70.59236318975607,-33.39975153331569,supermarket,10,
,,,,,,,,0,Centro Comercial Plaza Lo Castillo,,,commercial,,Vitacura,-70.59345157444632,-33.40071625281153,commercial,10,
,,,,,,,,0,Lider Express,,supermarket,yes,,Vitacura,-70.59071478118325,-33.399419897826164,supermarket,10,
,,,,,,,,0,,,,commercial,,Vitacura,-70.59486333008161,-33.40142957271391,commercial,10,
,,,,,,,,0,,,,commercial,,Vitacura,-70.52757728457462,-33.376869944213226,commercial,10,
,,,,,,,,0,,,,commercial,,Vitacura,-70.52724430012611,-33.37664930004224,commercial,10,
,,,,,,,,0,,,,commercial,,Vitacura,-70.53020123280892,-33.37957403641628,commercial,10,
,,,,,,,,0,,,,commercial,,Vitacura,-70.59702769997591,-33.40253535000064,commercial,10,
,,,,,,,,0,,,,commercial,,Vitacura,-70.60039935668564,-33.39817176503366,commercial,10,
,,,,,,,,0,Parque Bicentenario,parking,,,,Vitacura,-70.60117337563052,-33.40577717820852,parking,25,
,,,,,,,,0,Parque Bicentenario,parking,,,,Vitacura,-70.60080905921099,-33.39717044994255,parking,25,
,,,,,,,,0,CEPAL,parking,,,,Vitacura,-70.60021193663837,-33.40386301647274,parking,25,
,,,,,,,,0,Clínica Lo Curro,hospital,,yes,,Vitacura,-70.58273650920823,-33.37924318995319,hospital,6,
,,,,,,,,0,BordeRío,parking,,,,Vitacura,-70.58087681026063,-33.38194072484656,parking,25,
,,,,,,,,0,BordeRio,parking,,,,Vitacura,-70.58169555937846,-33.38204977294236,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.56264675013207,-33.387577249942,parking,25,
,,,,,,,,0,,,,commercial,,Vitacura,-70.59768662695016,-33.40340086070428,commercial,10,
,,,,,,,,0,Torre Condell,,,commercial,,Vitacura,-70.5884733404324,-33.39869489346589,commercial,10,
,,,,,,,,0,,,,commercial,,Vitacura,-70.58937858449015,-33.39897765640291,commercial,10,
,,,,,,,,0,,,,commercial,,Vitacura,-70.5900007251011,-33.39929256806319,commercial,10,
,,,,,,,,0,,,,retail,,Vitacura,-70.59852020197873,-33.40577483396412,retail,6,
,,,,,,,,0,,parking,,,,Vitacura,-70.54744812917743,-33.37520111588159,parking,25,
,,,,,,,,0,,,,commercial,,Vitacura,-70.59880344539926,-33.40227613213005,commercial,10,
,,,,,,,,0,,,,commercial,,Vitacura,-70.59557980009673,-33.40393550001157,commercial,10,
,,,,,,,,0,,,,retail,,Vitacura,-70.59746833957503,-33.39872734148472,retail,6,
,,,,,,,,0,,,,commercial,,Vitacura,-70.58704840174175,-33.399405477094945,commercial,10,
,,,,,,,,0,,,,commercial,,Vitacura,-70.58675638172184,-33.398811241427666,commercial,10,
,,,,,,,,0,Unimarc,,mall,retail,,Vitacura,-70.58615832671313,-33.39892748602695,mall,20,
,,,,,,,,0,,,,commercial,,Vitacura,-70.58351520224697,-33.39761172432613,commercial,10,
,,,,,,,,0,,,,commercial,,Vitacura,-70.58396041471103,-33.3969309269871,commercial,10,
,,,,,,,,0,Pastelería Angélica,,pastry,commercial,,Vitacura,-70.57718390003453,-33.39316720000792,pastry,13,
,,,,,,,,0,Renaissance Santiago Hotel,,,commercial,,Vitacura,-70.58379716203834,-33.402545408745546,commercial,10,
,,,,,,,,0,,parking,,,,Vitacura,-70.58938396845024,-33.382526626932474,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.58883207269301,-33.38231154582122,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.58891865002843,-33.3818380000087,parking,25,
,,,,,,,,0,,parking,,,,Vitacura,-70.53239777136822,-33.375319196857696,parking,25,
,,,,,,,,0,,,,commercial,,Vitacura,-70.59872367800126,-33.39724943080892,commercial,10,
,,,,,,,,0,Casacostanera,,mall,yes,,Vitacura,-70.59859678602778,-33.39841794552916,mall,20,
,,,,,,,,0,,,,commercial,,Vitacura,-70.59669972552403,-33.393640709483925,commercial,10,
,,,,,,,,0,Chilexpress,post_office,,commercial,,Vitacura,-70.56519503352071,-33.38732727690756,post_office,13,
,,,,,,,,0,Torre Alto Oriente,,,office,,Vitacura,-70.54608610003474,-33.388359050024896,office,8,
