electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,Pcap,distancia_m,paneles_ini,paneles_max
,,,,,,,,0,Gerencia Comercial,,,commercial,,El Bosque,-70.6868416414775,-33.56806602525762,commercial,10,,,
,,,,,,,,0,,,,commercial,,El Bosque,-70.69133602609975,-33.57351974017751,commercial,10,,,
,,,,,,,,0,,parking,,,,El Bosque,-70.6907581253673,-33.55997433117618,parking,25,,,
,,,,,,,,0,Super Bodega Acuenta,,supermarket,yes,,El Bosque,-70.6655910296324,-33.573297809053734,supermarket,10,,,
,,,,,,,,0,,parking,,,,El Bosque,-70.68872013666686,-33.570717533023554,parking,25,,,
,,,,,,,,0,Dirección Ejecutiva,,,commercial,,El Bosque,-70.68638177965822,-33.5676323766484,commercial,10,,,
,,,,,,,,0,,parking,,,,El Bosque,-70.68787858944258,-33.5697775346714,parking,25,,,
,,,,,,,,0,,parking,,,,El Bosque,-70.6873773776513,-33.56847718162708,parking,25,,,
,,,,,,,,0,,parking,,,,El Bosque,-70.6891571652769,-33.568919038982465,parking,25,,,
,,,,,,,,0,,parking,,,,El Bosque,-70.68951308245005,-33.56839992755221,parking,25,,,
,,,,,,,,0,,parking,,,,El Bosque,-70.68850251379803,-33.56850227914621,parking,25,,,
,,,,,,,,0,,parking,,,,El Bosque,-70.68813647311526,-33.56806808485286,parking,25,,,
,,,,,,,,0,,,,commercial,,El Bosque,-70.67811872012024,-33.56543459439579,commercial,10,,,
,,,,,,,,0,,parking,,,,El Bosque,-70.68911384578251,-33.55708856892877,parking,25,,,
,,,,,,,,0,,parking,,,,El Bosque,-70.68896184538768,-33.55654205761689,parking,25,,,
,,,,,,,,0,,,,commercial,,El Bosque,-70.67388060001797,-33.571474250034754,commercial,10,,,
,,,,,,,,0,,parking,,,,El Bosque,-70.67341183311053,-33.572042797433724,parking,25,,,
,,,,,,,,0,,parking,,,,El Bosque,-70.6745757788401,-33.55601920592703,parking,25,,,
,,,,,,,,0,Santa Isabel,,supermarket,,,El Bosque,-70.67238607271914,-33.54990679504344,supermarket,10,,,
,,,,,,,,0,,parking,,,,El Bosque,-70.66456925017387,-33.5475303002356,parking,25,,,
