electro_lat,electro_lon,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,Pcap,distancia_m
,,0,,parking,,,,Lo Prado,-70.7234701,-33.452169,parking,25,
,,0,,parking,,,,Lo Prado,-70.7098504,-33.4576602,parking,25,
,,0,,parking,,,,Lo Prado,-70.7083323,-33.45733359999999,parking,25,
,,0,Municipalidad de Lo Prado,parking,,,,Lo Prado,-70.7155392,-33.442364,parking,25,
,,0,,parking,,,,Lo Prado,-70.7306938,-33.4448474,parking,25,
,,0,,parking,,,,Lo Prado,-70.7406243,-33.436952700000006,parking,25,
,,0,Lavado de Autos,car_wash,,,,Lo Prado,-70.7406417,-33.4383409,car_wash,2,
,,0,,parking,,,,Lo Prado,-70.7360018,-33.44449259999999,parking,25,
,,0,,parking,,,,Lo Prado,-70.7363329,-33.4406475,parking,25,
,,0,R Y J Almacén y botillería,,supermarket,,,Lo Prado,-70.730412,-33.4471392,supermarket,10,
,,0,,parking,,,,Lo Prado,-70.73604060023722,-33.453574950564004,parking,25,
,,0,Lider,,supermarket,yes,,Lo Prado,-70.72410531270032,-33.445215598565284,supermarket,10,
,,0,Shell,fuel,,,,Lo Prado,-70.74017970318938,-33.444365300027364,fuel,10,
,,0,Petrobras,fuel,,,,Lo Prado,-70.72396398718018,-33.44459688808593,fuel,10,
,,0,Mayorista 10,,supermarket,yes,,Lo Prado,-70.73027918045233,-33.44488324090922,supermarket,10,
,,0,Supermercado La Africana,,supermarket,yes,,Lo Prado,-70.73588059167706,-33.44432395763682,supermarket,10,
,,0,Minimarket La palmera,,supermarket,yes,,Lo Prado,-70.72069407307025,-33.45185593485339,supermarket,10,
,,0,,parking,,,,Lo Prado,-70.7178450905504,-33.456580474756784,parking,25,
,,0,,parking,,,,Lo Prado,-70.71762250895912,-33.44824555648376,parking,25,
,,0,Estacionamiento Lider,parking,,,,Lo Prado,-70.72452459983164,-33.44467237262309,parking,25,
,,0,Estacionamiento Lider,parking,,,,Lo Prado,-70.72409436940106,-33.44525180439496,parking,25,
,,0,Estacionamiento Colegio Bau,parking,,,,Lo Prado,-70.73064456179914,-33.44928030062525,parking,25,
,,0,Estacionamiento centro Familiar Pablo Neruda,parking,,,,Lo Prado,-70.7304352728495,-33.44986739111691,parking,25,
,,0,SuperMercado Lo Prado,,supermarket,yes,,Lo Prado,-70.72163655784256,-33.44385102723836,supermarket,10,
,,0,Santa Isabel,,supermarket,yes,,Lo Prado,-70.71220808702179,-33.457313991046334,supermarket,10,
,,0,,,,commercial,,Lo Prado,-70.73079164727388,-33.44433175891249,commercial,10,
,,0,,,,commercial,,Lo Prado,-70.7307673314073,-33.44119450346026,commercial,10,
,,0,,,,commercial,,Lo Prado,-70.73076955503353,-33.44107623873476,commercial,10,
,,0,,,,commercial,,Lo Prado,-70.73069747433816,-33.439455501240936,commercial,10,
,,0,Erbi,,supermarket,yes,,Lo Prado,-70.71699246902642,-33.443676275454685,supermarket,10,
,,0,Supermercado Alvi,,supermarket,yes,,Lo Prado,-70.71264076922289,-33.44345976415441,supermarket,10,
,,0,,,,commercial,,Lo Prado,-70.73911903680673,-33.44434402603493,commercial,10,
,,0,,,,commercial,,Lo Prado,-70.73621450892988,-33.44439357521639,commercial,10,
,,0,,,,commercial,,Lo Prado,-70.73494768116633,-33.44438280080809,commercial,10,
,,0,,,,commercial,,Lo Prado,-70.73484796211197,-33.44439182510556,commercial,10,
,,0,,,,commercial,,Lo Prado,-70.73465869999934,-33.44435569999717,commercial,10,
,,0,,,,commercial,,Lo Prado,-70.73429383428633,-33.444363865572164,commercial,10,
,,0,,,,commercial,,Lo Prado,-70.73418280880516,-33.4443598018373,commercial,10,
,,0,,,,commercial,,Lo Prado,-70.73395661170889,-33.444371774945886,commercial,10,
,,0,,,,commercial,,Lo Prado,-70.73362732327136,-33.44436941399727,commercial,10,
,,0,,,,commercial,,Lo Prado,-70.7334456424372,-33.44432697200169,commercial,10,
,,0,,,,commercial,,Lo Prado,-70.73301314237105,-33.4443525104901,commercial,10,
,,0,,,,commercial,,Lo Prado,-70.73279582031705,-33.444337433203266,commercial,10,
,,0,,,,commercial,,Lo Prado,-70.73262885855814,-33.44431270965573,commercial,10,
,,0,,,,commercial,,Lo Prado,-70.73238789436276,-33.44434438255136,commercial,10,
,,0,,,,commercial,,Lo Prado,-70.7315859000001,-33.444330899999045,commercial,10,
,,0,,,,commercial,,Lo Prado,-70.73131937518734,-33.44432755833657,commercial,10,
,,0,,,,commercial,,Lo Prado,-70.73121110939366,-33.44420337474296,commercial,10,
,,0,Apt Car Wash,car_wash,,roof,,Lo Prado,-70.7213140565279,-33.436727896096734,car_wash,2,
,,0,,parking,,,,Lo Prado,-70.7156515302608,-33.45154272936408,parking,25,
,,0,,parking,,,,Lo Prado,-70.7345504683665,-33.44132245981304,parking,25,
,,0,,parking,,,,Lo Prado,-70.71558896399154,-33.44251973937364,parking,25,
,,0,,parking,,,,Lo Prado,-70.71865322789837,-33.442130905344435,parking,25,
,,0,,parking,,,,Lo Prado,-70.71343933328518,-33.44181532822792,parking,25,
,,0,,parking,,,,Lo Prado,-70.71387824465992,-33.441597705533546,parking,25,
,,0,,parking,,,,Lo Prado,-70.71451970070275,-33.44198492080415,parking,25,
,,0,,parking,,,,Lo Prado,-70.71408672778435,-33.442080279477175,parking,25,
,,0,,parking,,,,Lo Prado,-70.71525238298761,-33.442012937732386,parking,25,
,,0,,parking,,,,Lo Prado,-70.71415358898119,-33.44254111470715,parking,25,
,,0,,parking,,,,Lo Prado,-70.71181338004796,-33.45194510275873,parking,25,
