name,amenity,shop,building,leisure,comuna,lon,lat,tipo_osm,Zcap
Mayorista 10,,supermarket,retail,,Maipú,-70.79139121058213,-33.55275847364804,supermarket,10
,parking,,,,Maipú,-70.7751929627561,-33.53134082917569,parking,25
,parking,,,,Maipú,-70.77586544865291,-33.53133488259654,parking,25
,parking,,,,Maipú,-70.76586435392362,-33.52636892878602,parking,25
,parking,,,,Maipú,-70.76505007517423,-33.526427756761805,parking,25
,parking,,,,Maipú,-70.76676396442475,-33.52819550829912,parking,25
,parking,,,,Maipú,-70.76629704130734,-33.52818060575327,parking,25
Petrobras,fuel,,roof,,Maipú,-70.75822689757014,-33.47375460649521,fuel,10
Universidad de Las Américas,university,,,,Maipú,-70.74995099968517,-33.51003291297676,university,10
Supermercado COVEM,,,commercial,,Maipú,-70.74427773767258,-33.50755649302454,commercial,10
Acuenta,,supermarket,yes,,Maipú,-70.7624276135484,-33.52060641186279,supermarket,10
Mall Pumay,,mall,yes,,Maipú,-70.75804954438365,-33.51007020065365,mall,20
Santa Isabel,,supermarket,yes,,Maipú,-70.78020433716209,-33.504316005552056,supermarket,10
Santa Isabel,parking,,,,Maipú,-70.78004946100687,-33.50499901569463,parking,25
Unimarc,,supermarket,yes,,Maipú,-70.79220100574882,-33.531186291690524,supermarket,10
Lider Express,,supermarket,yes,,Maipú,-70.75700178382984,-33.47806603606072,supermarket,10
,,,retail,,Maipú,-70.75349762885344,-33.483915099042605,retail,6
Lider Express,,supermarket,yes,,Maipú,-70.73925385000526,-33.48495305054986,supermarket,10
,,,commercial,,Maipú,-70.74564892274903,-33.50112307867228,commercial,10
Lavado de Autos,car_wash,,yes,,Maipú,-70.74481485986539,-33.50123355165894,car_wash,2
,parking,,,,Maipú,-70.74545130003257,-33.50413535004165,parking,25
,,,commercial,,Maipú,-70.75251329999014,-33.50203364999732,commercial,10
,,,commercial,,Maipú,-70.75156237346845,-33.50003059404407,commercial,10
,,,commercial,,Maipú,-70.75377595871116,-33.50007037538577,commercial,10
,,,commercial,,Maipú,-70.75426551687104,-33.49998206775151,commercial,10
,,,commercial,,Maipú,-70.75610550876702,-33.500086995930374,commercial,10
Shell,fuel,,roof,,Maipú,-70.75247397465091,-33.52550398257197,fuel,10
Copec,fuel,,roof,,Maipú,-70.75401135797348,-33.52642110129545,fuel,10
KM 15.600,parking,,,,Maipú,-70.77012230691997,-33.537181868737115,parking,25
Shell,fuel,,roof,,Maipú,-70.7805449746532,-33.54416037620173,fuel,10
Petrobras,fuel,,roof,,Maipú,-70.74643712811125,-33.521426439016615,fuel,10
Farmacias Ahumada,pharmacy,,commercial,,Maipú,-70.78056235545304,-33.5608467904949,pharmacy,13
Santa Isabel,,supermarket,yes,,Maipú,-70.7774718728083,-33.49175086497221,supermarket,10
AIRE,fuel,,roof,,Maipú,-70.7375745500015,-33.51054049998844,fuel,10
Lubba,,supermarket,yes,,Maipú,-70.76224923240827,-33.51106408428121,supermarket,10
Mayorista 10,,supermarket,yes,,Maipú,-70.76122910692395,-33.51115027096892,supermarket,10
,,,commercial,,Maipú,-70.76015305774882,-33.51104396275194,commercial,10
Mundo Pacífico,,,commercial,,Maipú,-70.75711334288262,-33.49739013106138,commercial,10
,,,commercial,,Maipú,-70.75795597806724,-33.50339873435294,commercial,10
Lider Express,,supermarket,retail,,Maipú,-70.79215338448591,-33.5245045744027,supermarket,10
La Oferta,,supermarket,,,Maipú,-70.79697210265071,-33.50659543920238,supermarket,10
,parking,,,,Maipú,-70.77504384800464,-33.53215799887432,parking,25
,,,commercial,,Maipú,-70.74977920305422,-33.500285561279235,commercial,10
,,,commercial,,Maipú,-70.75126303397552,-33.4965780401863,commercial,10
,,,commercial,,Maipú,-70.74933672689637,-33.500615254792706,commercial,10
Farcom,fuel,,roof,,Maipú,-70.7691336125014,-33.52480276717681,fuel,10
,,,retail,,Maipú,-70.75697444883251,-33.51099512771525,retail,6
,,,commercial,,Maipú,-70.7601090106085,-33.51034153598577,commercial,10
,,,commercial,,Maipú,-70.75946355243815,-33.516094444239386,commercial,10
Bathcenter,,,commercial,,Maipú,-70.759845866022,-33.51626336200179,commercial,10
Copec,fuel,,roof,,Maipú,-70.75601408754325,-33.521296217451784,fuel,10
Shell,fuel,,roof,,Maipú,-70.75533867827534,-33.52226552885233,fuel,10
Lider,,supermarket,yes,,Maipú,-70.74774832645022,-33.515700218406025,supermarket,10
Ekono,,supermarket,yes,,Maipú,-70.73186107708372,-33.47907902435169,supermarket,10
Unimarc 2º Transversal,,supermarket,yes,,Maipú,-70.74290558580932,-33.48865249279698,supermarket,10
Esquina Blanca | Distribuidora de Artículos Descartables,,wholesale,commercial,,Maipú,-70.7460852351759,-33.51109551937984,wholesale,13
,,,commercial,,Maipú,-70.73163890605504,-33.4723576514715,commercial,10
Supermercados Pansol,,supermarket,yes,,Maipú,-70.73178765390092,-33.4748914514547,supermarket,10
,,,commercial,,Maipú,-70.7483569559645,-33.47319528094194,commercial,10
,,,commercial,,Maipú,-70.73819693117882,-33.49285951715313,commercial,10
,,,commercial,,Maipú,-70.74658253265535,-33.493460483475374,commercial,10
,,,commercial,,Maipú,-70.73086527947177,-33.47623045875756,commercial,10
Supermercado Mayorista 10,,supermarket,yes,,Maipú,-70.74045442645208,-33.50125370787446,supermarket,10
,,,commercial,,Maipú,-70.78009430916242,-33.56440844536116,commercial,10
,parking,,,,Maipú,-70.73336808414759,-33.52239139715776,parking,25
,parking,,,,Maipú,-70.78712665820835,-33.53945782658798,parking,25
,parking,,,,Maipú,-70.78473736714608,-33.537374609583566,parking,25
,parking,,,,Maipú,-70.77787409461628,-33.53675873569387,parking,25
,,,commercial,,Maipú,-70.77774538551864,-33.536691289746614,commercial,10
,parking,,,,Maipú,-70.78161547894504,-33.540539884550654,parking,25
,,,commercial,,Maipú,-70.75712015759785,-33.498069884074354,commercial,10
,,hardware,commercial,,Maipú,-70.77256803374804,-33.530473103536494,hardware,13
