name,amenity,shop,building,leisure,comuna,lon,lat,tipo_osm,Zcap
,,,commercial,,Ñuñoa,-70.59723578284442,-33.455411256433386,commercial,10
Proboca,restaurant,,commercial,,Ñuñoa,-70.59339015453838,-33.45364800421578,restaurant,13
,parking,,,,Ñuñoa,-70.60376819037408,-33.46558673583579,parking,25
Banco de Chile,parking,,,,Ñuñoa,-70.5991641711031,-33.45530460746335,parking,25
,parking,,,,Ñuñoa,-70.5826642309925,-33.458347902705704,parking,25
,parking,,,,Ñuñoa,-70.59243288267389,-33.45390833812984,parking,25
,parking,,,,Ñuñoa,-70.58080149027188,-33.45720748238451,parking,25
,parking,,,,Ñuñoa,-70.58256502036011,-33.45548776000542,parking,25
,parking,,,,Ñuñoa,-70.58091144168084,-33.45812120180623,parking,25
,parking,,,,Ñuñoa,-70.58356464971044,-33.45696814978667,parking,25
,parking,,,,Ñuñoa,-70.58263274503128,-33.45749679213648,parking,25
,parking,,,,Ñuñoa,-70.5825062580584,-33.45654659294436,parking,25
,parking,,,,Ñuñoa,-70.58068991085308,-33.45629731869828,parking,25
,,,commercial,,Ñuñoa,-70.58091817672901,-33.448766678303045,commercial,10
,,,commercial,,Ñuñoa,-70.58102295083681,-33.448477398956015,commercial,10
,parking,,,,Ñuñoa,-70.58054482336924,-33.44852673527984,parking,25
,parking,,,,Ñuñoa,-70.58079510473372,-33.448773438241055,parking,25
,parking,,,,Ñuñoa,-70.5975807412348,-33.46041529859772,parking,25
,parking,,,,Ñuñoa,-70.59768627522917,-33.459451646438815,parking,25
,parking,,,,Ñuñoa,-70.58305492795417,-33.45876738077798,parking,25
Strip Center Irarrázaval,parking,,,,Ñuñoa,-70.57917782162521,-33.45475539155176,parking,25
,,,commercial,,Ñuñoa,-70.59699017087178,-33.45523238475316,commercial,10
Banco de Chile,bank,,commercial,,Ñuñoa,-70.59924498470079,-33.455025479407595,bank,13
,parking,,,,Ñuñoa,-70.58289004399929,-33.454185493822955,parking,25
Aramco,fuel,,,,Ñuñoa,-70.59845272568366,-33.459344305103365,fuel,10
,,,commercial,,Ñuñoa,-70.59996745193884,-33.455774794362746,commercial,10
,parking,,,,Ñuñoa,-70.58673789999685,-33.4557088500955,parking,25
Shell,fuel,,roof,,Ñuñoa,-70.58632468795889,-33.455679176110635,fuel,10
,,,retail,,Ñuñoa,-70.59900944493849,-33.45504388070045,retail,6
,,,retail,,Ñuñoa,-70.59883886676752,-33.45505301688108,retail,6
Carnes Escudero,,butcher,commercial,,Ñuñoa,-70.59953882320417,-33.45494808442824,butcher,13
,,,commercial,,Ñuñoa,-70.59838994390473,-33.45608982508014,commercial,10
,,,retail,,Ñuñoa,-70.59999326729147,-33.45493848187018,retail,6
,,,commercial,,Ñuñoa,-70.59434249795872,-33.45547211019161,commercial,10
Caracol Ñuñoa Centro,,,commercial,,Ñuñoa,-70.60459793485629,-33.45460790435542,commercial,10
,parking,,,,Ñuñoa,-70.60156260452449,-33.45526169327342,parking,25
,parking,,,,Ñuñoa,-70.61647767949513,-33.45195399087696,parking,25
Copec,fuel,,roof,,Ñuñoa,-70.58823054999453,-33.45527624999836,fuel,10
,parking,,,,Ñuñoa,-70.58555747487874,-33.455581821593505,parking,25
,parking,,,,Ñuñoa,-70.5911126788755,-33.448291104607264,parking,25
,parking,,,,Ñuñoa,-70.60638220216347,-33.445655478131435,parking,25
,parking,,,,Ñuñoa,-70.58203256848356,-33.45440055298167,parking,25
,parking,,,,Ñuñoa,-70.57264336874682,-33.458600803474006,parking,25
,,,office,,Ñuñoa,-70.60098505428805,-33.47051118089592,office,8
C.A.R.,parking,,,,Ñuñoa,-70.60738434648316,-33.46512930306085,parking,25
,,,commercial,,Ñuñoa,-70.6199467632619,-33.4632419090428,commercial,10
,parking,,,,Ñuñoa,-70.60264860229148,-33.46269369113319,parking,25
,parking,,,,Ñuñoa,-70.60637265000824,-33.46635320003506,parking,25
,parking,,,,Ñuñoa,-70.61094787773422,-33.44655697928541,parking,25
,parking,,,,Ñuñoa,-70.60208566832952,-33.45006264838951,parking,25
,parking,,,,Ñuñoa,-70.60085837641026,-33.44836373870496,parking,25
,,,retail,,Ñuñoa,-70.5914578773282,-33.467009273711106,retail,6
,parking,,,,Ñuñoa,-70.58028207140896,-33.47078599011217,parking,25
,parking,,,,Ñuñoa,-70.58870817421234,-33.46519021126938,parking,25
Unimarc,,supermarket,yes,,Ñuñoa,-70.59111222289008,-33.47132881658299,supermarket,10
,,,retail,,Ñuñoa,-70.59124742128392,-33.470910275385314,retail,6
,,,commercial,,Ñuñoa,-70.59689872571742,-33.44679920824421,commercial,10
,,,commercial,,Ñuñoa,-70.59207137848861,-33.44837035848708,commercial,10
,,,commercial,,Ñuñoa,-70.5875294847031,-33.448152017408326,commercial,10
Weleda,,,commercial,,Ñuñoa,-70.58666197150873,-33.44827043836717,commercial,10
,,,commercial,,Ñuñoa,-70.58217498142102,-33.4481976227078,commercial,10
Engel & Völkers,,,commercial,,Ñuñoa,-70.57960274960996,-33.44810363793102,commercial,10
,,,commercial,,Ñuñoa,-70.57759851043996,-33.447972744867904,commercial,10
,,,commercial,,Ñuñoa,-70.57612435916498,-33.45522329406377,commercial,10
,,,commercial,,Ñuñoa,-70.59734190899187,-33.4459888943579,commercial,10
Cicloservice,,bicycle,commercial,,Ñuñoa,-70.59155857486387,-33.44865754043439,bicycle,13
,,,commercial,,Ñuñoa,-70.587967375444,-33.4486916862033,commercial,10
,,,commercial,,Ñuñoa,-70.57641039579953,-33.45299196232313,commercial,10
Petrobras,fuel,,roof,,Ñuñoa,-70.60312084516983,-33.44519176579514,fuel,10
,,,retail,,Ñuñoa,-70.60522583646117,-33.457636251519155,retail,6
Santa Isabel,,supermarket,yes,,Ñuñoa,-70.60436969990242,-33.45325639848032,supermarket,10
Comercial Los Carros,,,retail,,Ñuñoa,-70.60327334395512,-33.45473497319859,retail,6
Spacio1,,convenience,commercial,,Ñuñoa,-70.58603306242202,-33.458162372064606,convenience,13
,,,commercial,,Ñuñoa,-70.62613471546646,-33.451968232221816,commercial,10
Copec,fuel,,roof,,Ñuñoa,-70.6191427000128,-33.45303714999277,fuel,10
Viva,fuel,,roof,,Ñuñoa,-70.61888210000029,-33.45560685000358,fuel,10
,,,commercial,,Ñuñoa,-70.62671440295576,-33.452792467630594,commercial,10
,,,commercial,,Ñuñoa,-70.61385509752918,-33.456608928242474,commercial,10
,,,retail,,Ñuñoa,-70.59549987046941,-33.46428241463523,retail,6
,,,retail,,Ñuñoa,-70.59549987046941,-33.46428241463523,retail,6
,,,retail,,Ñuñoa,-70.59753380000402,-33.46430980005652,retail,6
,,,retail,,Ñuñoa,-70.59797290499135,-33.46430293326015,retail,6
,,,commercial,,Ñuñoa,-70.62712386876761,-33.454920032535576,commercial,10
,,,retail,,Ñuñoa,-70.61313124189256,-33.44806513449295,retail,6
,,,commercial,,Ñuñoa,-70.603218887617,-33.46296434494811,commercial,10
,,,commercial,,Ñuñoa,-70.60284438761701,-33.46309204494809,commercial,10
,,,commercial,,Ñuñoa,-70.60238841180549,-33.46313954056123,commercial,10
,,,commercial,,Ñuñoa,-70.60205298990672,-33.46315176685239,commercial,10
,,,commercial,,Ñuñoa,-70.60176148761701,-33.4636041449481,commercial,10
,,,commercial,,Ñuñoa,-70.60171756181929,-33.46319114066768,commercial,10
Lavado de Autos Donde Camilo,car_wash,,roof,,Ñuñoa,-70.60625992878019,-33.471911638705585,car_wash,2
Cruz Verde,pharmacy,,commercial,,Ñuñoa,-70.62894234116943,-33.453856699779855,pharmacy,13
Copec,fuel,,yes,,Ñuñoa,-70.62427459778685,-33.469689344550304,fuel,10
,,,retail,,Ñuñoa,-70.60396054801828,-33.45399878785301,retail,6
Ekono,,supermarket,yes,,Ñuñoa,-70.60661976747807,-33.47301709341434,supermarket,10
,,,commercial,,Ñuñoa,-70.62789790026221,-33.46134184980126,commercial,10
Aramco,fuel,,roof,,Ñuñoa,-70.6203329850289,-33.46103673548066,fuel,10
LavaPro,car_wash,,yes,,Ñuñoa,-70.5988570500069,-33.46526340005167,car_wash,2
Shell,fuel,,roof,,Ñuñoa,-70.59873404870747,-33.46501532723506,fuel,10
,,,commercial,,Ñuñoa,-70.61044750469947,-33.44804976333589,commercial,10
Estacionamiento Restayrant Walhalla,parking,,,,Ñuñoa,-70.60958824531733,-33.456398469232674,parking,25
,parking,,,,Ñuñoa,-70.61445480011017,-33.45191969986856,parking,25
,parking,,,,Ñuñoa,-70.61378070350479,-33.45290199089277,parking,25
,,,retail,,Ñuñoa,-70.62310485009357,-33.45355235012856,retail,6
,,,retail,,Ñuñoa,-70.62356868313869,-33.453339271129686,retail,6
