electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,dpc_Pcap,dpc_Zmax,dpc_Z_inicial,distancia_m,demand_estimated
,,,,,,,,0,Santa Isabel,,supermarket,yes,,La Florida,-70.58956305959481,-33.54666727693942,supermarket,10,18,0,,300
,,,,,,,,0,,parking,,,,La Florida,-70.5896885924069,-33.54682116716324,parking,25,30,0,,260
,,,,,,,,0,,parking,,,,La Florida,-70.60632917397935,-33.51366916613058,parking,25,30,0,,260
,,,,,,,,0,Hospital Clínico Metropolitano de La Florida Doctora Eloísa Díaz Insunza,hospital,,,,La Florida,-70.59858571114378,-33.5142080053545,hospital,6,25,0,,200
,,,,,,,,0,,parking,,,,La Florida,-70.59879854102756,-33.51461805637077,parking,25,30,0,,260
,,,,,,,,0,,parking,,,,La Florida,-70.59697967310834,-33.51564212572254,parking,25,30,0,,260
,,,,,,,,0,,,,retail,,La Florida,-70.60027767782901,-33.51803936086884,retail,6,12,0,,120
,,,,,,,,0,,,,office,,La Florida,-70.60188482385429,-33.51765697275267,office,8,14,0,,160
,,,,,,,,0,Universidad de Las Américas,university,,,,La Florida,-70.58347430715014,-33.52189415609237,university,10,35,0,,240
,,,,,,,,0,,parking,,,,La Florida,-70.55537539721503,-33.534988795857146,parking,25,30,0,,260
,,,,,,,,0,Doña Carne,,butcher,commercial,,La Florida,-70.59889584192086,-33.52202307248664,butcher,13,10,0,,100
,,,,,,,,0,BCI,bank,,commercial,,La Florida,-70.59929186135926,-33.521197231495606,bank,13,10,0,,100
,,,,,,,,0,,,,retail,,La Florida,-70.59942535423644,-33.516237096262195,retail,6,12,0,,120
,,,,,,,,0,,,,retail,,La Florida,-70.6033360326515,-33.515109378823084,retail,6,12,0,,120
,,,,,,,,0,Puertocentro,,,retail,,La Florida,-70.5989398374013,-33.514871060101164,retail,6,12,0,,120
,,,,,,,,0,,,,commercial,,La Florida,-70.6064130497884,-33.53161884997697,commercial,10,15,0,,140
,,,,,,,,0,Carnes Mulchén,,,commercial,,La Florida,-70.59634996558162,-33.51650411135763,commercial,10,15,0,,140
,,,,,,,,0,Carnes Mulchén,,,commercial,,La Florida,-70.59634996558162,-33.51650411135763,commercial,10,15,0,,140
,,,,,,,,0,Subway,,,commercial,,La Florida,-70.5969838328271,-33.516173151514714,commercial,10,15,0,,140
,,,,,,,,0,Uno Salud - Dental,,,commercial,,La Florida,-70.5968138432171,-33.51627448318469,commercial,10,15,0,,140
,,,,,,,,0,Domino's,,,commercial,,La Florida,-70.59662271324113,-33.516363765049306,commercial,10,15,0,,140
,,,,,,,,0,Chilena Consolidada,,,commercial,,La Florida,-70.59597673781731,-33.5167456453266,commercial,10,15,0,,140
,,,,,,,,0,Central Frenos,,,commercial,,La Florida,-70.59555604190412,-33.51698914198652,commercial,10,15,0,,140
,,,,,,,,0,,,,retail,,La Florida,-70.59523371437011,-33.51715689995996,retail,6,12,0,,120
,,,,,,,,0,,,,commercial,,La Florida,-70.58693296688571,-33.52092632579799,commercial,10,15,0,,140
,,,,,,,,0,,,,commercial,,La Florida,-70.58253485796007,-33.5200740748404,commercial,10,15,0,,140
,,,,,,,,0,,,,commercial,,La Florida,-70.58880382519177,-33.517979685359855,commercial,10,15,0,,140
,,,,,,,,0,Copec,fuel,,roof,,La Florida,-70.58061715284666,-33.520299096767125,fuel,10,20,0,,280
,,,,,,,,0,,,,commercial,,La Florida,-70.584378418974,-33.519503627434254,commercial,10,15,0,,140
,,,,,,,,0,,,,commercial,,La Florida,-70.5796177503504,-33.52210084452708,commercial,10,15,0,,140
,,,,,,,,0,,,,commercial,,La Florida,-70.57522422528848,-33.53183956127393,commercial,10,15,0,,140
,,,,,,,,0,,,,commercial,,La Florida,-70.57501609515272,-33.53275561155125,commercial,10,15,0,,140
,,,,,,,,0,Aramco,fuel,,roof,,La Florida,-70.57374169395,-33.53607622830915,fuel,10,20,0,,280
,,,,,,,,0,,,,commercial,,La Florida,-70.5729617246285,-33.53782758795683,commercial,10,15,0,,140
,,,,,,,,0,,,,commercial,,La Florida,-70.5726882865396,-33.53817221142317,commercial,10,15,0,,140
,,,,,,,,0,Centro Comercial Alto Florida,,,commercial,,La Florida,-70.57249850808869,-33.53951973404168,commercial,10,15,0,,140
,,,,,,,,0,,,,commercial,,La Florida,-70.57169040000073,-33.54066195000079,commercial,10,15,0,,140
,,,,,,,,0,,,,commercial,,La Florida,-70.57098684543274,-33.542163346811314,commercial,10,15,0,,140
,,,,,,,,0,,,,commercial,,La Florida,-70.57093760001106,-33.54227355000131,commercial,10,15,0,,140
,,,,,,,,0,Shell,fuel,,yes,,La Florida,-70.56919835272372,-33.54664400200173,fuel,10,20,0,,280
,,,,,,,,0,,,,commercial,,La Florida,-70.56482789031901,-33.55271614919854,commercial,10,15,0,,140
,,,,,,,,0,,,,commercial,,La Florida,-70.56262919999132,-33.55504265004716,commercial,10,15,0,,140
,,,,,,,,0,Copec,fuel,,roof,,La Florida,-70.56078320240763,-33.5568791970863,fuel,10,20,0,,280
,,,,,,,,0,,,,commercial,,La Florida,-70.55977104999751,-33.55915250001121,commercial,10,15,0,,140
,,,,,,,,0,,,,commercial,,La Florida,-70.5624996872194,-33.560060569171505,commercial,10,15,0,,140
,,,,,,,,0,,,,commercial,,La Florida,-70.57036188589478,-33.562894732590664,commercial,10,15,0,,140
,,,,,,,,0,,,,commercial,,La Florida,-70.5788227368071,-33.562565349717,commercial,10,15,0,,140
,,,,,,,,0,,,,commercial,,La Florida,-70.5799611498478,-33.56275604766246,commercial,10,15,0,,140
,,,,,,,,0,,,,commercial,,La Florida,-70.58227078792525,-33.5631944955634,commercial,10,15,0,,140
,,,,,,,,0,,,,commercial,,La Florida,-70.58434949997755,-33.563537750075724,commercial,10,15,0,,140
,,,,,,,,0,,,,commercial,,La Florida,-70.57039507875666,-33.56157309192743,commercial,10,15,0,,140
,,,,,,,,0,Banco Santander,bank,,commercial,,La Florida,-70.59925497738577,-33.52203680037864,bank,13,10,0,,100
,,,,,,,,0,,,,commercial,,La Florida,-70.60135824022377,-33.52122317218173,commercial,10,15,0,,140
,,,,,,,,0,Banco de Chile,bank,,commercial,,La Florida,-70.6010461048666,-33.5214515443223,bank,13,10,0,,100
,,,,,,,,0,Fruna,,,commercial,,La Florida,-70.6009750043812,-33.52159863102542,commercial,10,15,0,,140
,,,,,,,,0,Tootsies Cabaret,,,commercial,,La Florida,-70.60088900949007,-33.52175683693565,commercial,10,15,0,,140
,,,,,,,,0,,,,commercial,,La Florida,-70.59168748752788,-33.53983675136086,commercial,10,15,0,,140
,,,,,,,,0,,,,commercial,,La Florida,-70.58851092990764,-33.546155857249445,commercial,10,15,0,,140
,,,,,,,,0,,,,commercial,,La Florida,-70.58804555387788,-33.547485243777075,commercial,10,15,0,,140
,,,,,,,,0,Autospa,car_wash,,yes,,La Florida,-70.5946481000006,-33.52986279999555,car_wash,2,10,0,,80
,,,,,,,,0,,,,commercial,,La Florida,-70.59710625412589,-33.52468591535437,commercial,10,15,0,,140
,,,,,,,,0,,,,commercial,,La Florida,-70.58737697135082,-33.55167849617481,commercial,10,15,0,,140
,,,,,,,,0,Mayorista 10,,supermarket,commercial,,La Florida,-70.6024306112911,-33.55423096987328,supermarket,10,18,0,,300
,,,,,,,,0,,,,commercial,,La Florida,-70.6002215240244,-33.52355001650515,commercial,10,15,0,,140
,,,,,,,,0,Tottus Express,,supermarket,yes,,La Florida,-70.55814202008504,-33.52154072456892,supermarket,10,18,0,,300
,,,,,,,,0,,,mall,yes,,La Florida,-70.55870732621763,-33.5218428867422,mall,20,50,0,,360
,,,,,,,,0,Shell,fuel,,roof,,La Florida,-70.576680038499,-33.52223821860216,fuel,10,20,0,,280
,,,,,,,,0,,parking,,,,La Florida,-70.59461197751048,-33.51894138108078,parking,25,30,0,,260
,,,,,,,,0,,,,commercial,,La Florida,-70.5945887234866,-33.5200002880687,commercial,10,15,0,,140
,,,,,,,,0,Don Pepe,,supermarket,yes,,La Florida,-70.61400751532761,-33.548805917046735,supermarket,10,18,0,,300
,,,,,,,,0,Ekono,,supermarket,yes,,La Florida,-70.57452555201601,-33.55327151545733,supermarket,10,18,0,,300
