electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,Pcap,distancia_m,Zmax,Z_inicial
,,,,,,,,0,,parking,,,,Lampa,-70.76337860001273,-33.33089204999575,parking,25,,30,0
,,,,,,,,0,,parking,,,,Lampa,-70.85432891256362,-33.36701792996111,parking,25,,30,0
,,,,,,,,0,,parking,,,,Lampa,-70.85357169990162,-33.367024200004096,parking,25,,30,0
,,,,,,,,0,IKA Industrial,,,commercial,,Lampa,-70.7510885572627,-33.25954209383167,commercial,10,,15,0
,,,,,,,,0,,,,retail,,Lampa,-70.87689154387347,-33.28432092009661,retail,6,,12,0
,,,,,,,,0,SuperBodega aCuenta,,supermarket,yes,,Lampa,-70.87965394986286,-33.28416910030792,supermarket,10,,18,0
,,,,,,,,0,Super10,,supermarket,yes,,Lampa,-70.88096417701433,-33.28679231817515,supermarket,10,,18,0
,,,,,,,,0,,,,retail,,Lampa,-70.72527919932226,-33.31317030063951,retail,6,,12,0
,,,,,,,,0,Consultorio Doctor José Bauza Frau,hospital,,,,Lampa,-70.87536501648472,-33.27743525101307,hospital,6,,25,0
,,,,,,,,0,,parking,,,,Lampa,-70.73613781699586,-33.303677317802965,parking,25,,30,0
,,,,,,,,0,,parking,,,,Lampa,-70.73992779949064,-33.327258912498635,parking,25,,30,0
,,,,,,,,0,,parking,,,,Lampa,-70.74522766907344,-33.32389077731022,parking,25,,30,0
,,,,,,,,0,Aramco,fuel,,roof,,Lampa,-70.74423623930771,-33.323890206621655,fuel,10,,20,0
,,,,,,,,0,Espacio Valle Grande,,shopping_centre,retail,,Lampa,-70.74519687251487,-33.32325542356196,shopping_centre,13,,10,0
,,,,,,,,0,,,,retail,,Lampa,-70.878201899123,-33.283418126136375,retail,6,,12,0
,,,,,,,,0,,,,retail,,Lampa,-70.87842747969738,-33.283559539309195,retail,6,,12,0
,,,,,,,,0,,parking,,,,Lampa,-70.87912215085719,-33.28397932902675,parking,25,,30,0
,,,,,,,,0,,,,retail,,Lampa,-70.87713357191683,-33.28429211199363,retail,6,,12,0
,,,,,,,,0,,,,retail,,Lampa,-70.87713125827791,-33.28472364066949,retail,6,,12,0
,,,,,,,,0,,parking,,,,Lampa,-70.87689383300113,-33.28433214056282,parking,25,,30,0
,,,,,,,,0,Estacionamiento Restaurant Dragon City,parking,,,,Lampa,-70.74792471914995,-33.32381005407922,parking,25,,30,0
,,,,,,,,0,,,,office,,Lampa,-70.74750235003572,-33.32343730745041,office,8,,14,0
,,,,,,,,0,Centro Comercial Los Arrayanes,,,retail,,Lampa,-70.77004149998623,-33.33361145003091,retail,6,,12,0
,,,,,,,,0,,parking,,,,Lampa,-70.8722953536643,-33.2840608453944,parking,25,,30,0
,,,,,,,,0,,parking,,,,Lampa,-70.87535391995273,-33.286350047884014,parking,25,,30,0
,,,,,,,,0,Copec,fuel,,roof,,Lampa,-70.87039427297408,-33.282473258373265,fuel,10,,20,0
,,,,,,,,0,,parking,,,,Lampa,-70.74460809528422,-33.323492011925595,parking,25,,30,0
,,,,,,,,0,,parking,,,,Lampa,-70.7452928133438,-33.328964947405204,parking,25,,30,0
,,,,,,,,0,,,,office,,Lampa,-70.7327579537928,-33.30303109077094,office,8,,14,0
,,,,,,,,0,Copec,fuel,,,,Lampa,-70.80791101419155,-33.23822336774816,fuel,10,,20,0
,,,,,,,,0,,parking,,,,Lampa,-70.75605253439353,-33.32669796205776,parking,25,,30,0
,,,,,,,,0,,parking,,,,Lampa,-70.75521241319134,-33.32609592397114,parking,25,,30,0
