electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,dpc_Pcap,dpc_Zmax,dpc_Z_inicial,distancia_m,demand_estimated
,,,,,,,,0,,,,commercial,,Quinta Normal,-70.69937642285912,-33.431670613839934,commercial,10,15,0,,43
,,,,,,,,0,,,,retail,,Quinta Normal,-70.71056026510053,-33.43247981814216,retail,6,12,0,,36
,,,,,,,,0,,,,retail,,Quinta Normal,-70.71609708957907,-33.431616045599284,retail,6,12,0,,36
,,,,,,,,0,,,,retail,,Quinta Normal,-70.7200546687991,-33.4304994465352,retail,6,12,0,,36
,,,,,,,,0,,,,retail,,Quinta Normal,-70.71986975003124,-33.43056290005227,retail,6,12,0,,36
,,,,,,,,0,Lava-Car,car_wash,,yes,,Quinta Normal,-70.68052269297196,-33.42689446757061,car_wash,2,10,0,,24
,,,,,,,,0,,,,commercial,,Quinta Normal,-70.68946146145605,-33.432580252364026,commercial,10,15,0,,43
,,,,,,,,0,,,,commercial,,Quinta Normal,-70.7135589422469,-33.43266090159816,commercial,10,15,0,,43
,,,,,,,,0,,,,commercial,,Quinta Normal,-70.71613044292572,-33.431918893161395,commercial,10,15,0,,43
,,,,,,,,0,,,,commercial,,Quinta Normal,-70.72002777178012,-33.43086754375074,commercial,10,15,0,,43
,,,,,,,,0,,parking,,,,Quinta Normal,-70.67926435544715,-33.42536569103421,parking,25,30,0,,79
,,,,,,,,0,,parking,,,,Quinta Normal,-70.70948065358868,-33.42381433056205,parking,25,30,0,,79
,,,,,,,,0,Estacionamiento Tramo 1,parking,,,,Quinta Normal,-70.69694906875196,-33.41352316695817,parking,25,30,0,,79
,,,,,,,,0,,parking,,,,Quinta Normal,-70.681712500031,-33.42699040006276,parking,25,30,0,,79
,,,,,,,,0,,parking,,,,Quinta Normal,-70.68981006519984,-33.42117029547199,parking,25,30,0,,79
,,,,,,,,0,Estadio Esparta,,,,stadium,Quinta Normal,-70.68980956994093,-33.42064179795546,stadium,20,60,0,,67
,,,,,,,,0,,parking,,,,Quinta Normal,-70.68099208365601,-33.43139025582472,parking,25,30,0,,79
