electro_Dirección,electro_Región,electro_Comuna,electro_lat,electro_lon,electro_Potencia (en kW) Electrolinera,electro_Tipo corriente,electro_Potencia (en kW) cargador,cargadores_iniciales,dpc_name,dpc_amenity,dpc_shop,dpc_building,dpc_leisure,dpc_comuna,dpc_lon,dpc_lat,dpc_tipo_osm,Pcap,distancia_m,paneles_ini,paneles_max,Zmax,Z_inicial
,,,,,,,,0,Unimarc,,supermarket,yes,,Estación Central,-70.7050811540809,-33.46906401394648,supermarket,10,,,,18,0
,,,,,,,,0,,parking,,,,Estación Central,-70.70607327512793,-33.47337070858513,parking,25,,,,30,0
,,,,,,,,0,,parking,,,,Estación Central,-70.70621448643041,-33.47393291132826,parking,25,,,,30,0
,,,,,,,,0,,parking,,,,Estación Central,-70.70752112102585,-33.47467479719043,parking,25,,,,30,0
,,,,,,,,0,,parking,,,,Estación Central,-70.70272646954878,-33.46920598675614,parking,25,,,,30,0
,,,,,,,,0,,parking,,,,Estación Central,-70.70397655511857,-33.469028305580004,parking,25,,,,30,0
,,,,,,,,0,,parking,,,,Estación Central,-70.6999127671601,-33.47390378042391,parking,25,,,,30,0
,,,,,,,,0,,parking,,,,Estación Central,-70.69918655556026,-33.46867487668552,parking,25,,,,30,0
,,,,,,,,0,Comunidad Centro Comercial Persa Estación,,,retail,,Estación Central,-70.68090165008822,-33.4527141754619,retail,6,,,,12,0
,,,,,,,,0,Petrobras,fuel,,roof,,Estación Central,-70.70451203736475,-33.45663229728315,fuel,10,,0.0,65.0,20,0
,,,,,,,,0,Mall Parque Estación,,mall,yes,,Estación Central,-70.68665616859658,-33.45336955441024,mall,20,,,,50,0
,,,,,,,,0,,,,commercial,,Estación Central,-70.68513771100588,-33.45286776178265,commercial,10,,,,15,0
,,,,,,,,0,Mayorista,,supermarket,yes,,Estación Central,-70.7229519671487,-33.464639323588656,supermarket,10,,,,18,0
,,,,,,,,0,Auto Spa,car_wash,,yes,,Estación Central,-70.7229204386919,-33.46415994790339,car_wash,2,,0.0,23.0,10,0
,,,,,,,,0,Comercial China,,,commercial,,Estación Central,-70.68444628013773,-33.452691718311925,commercial,10,,,,15,0
,,,,,,,,0,,,,commercial,,Estación Central,-70.6813828164077,-33.45136275028646,commercial,10,,,,15,0
,,,,,,,,0,,,,commercial,,Estación Central,-70.68850817492897,-33.46618719331745,commercial,10,,,,15,0
,,,,,,,,0,,,,commercial,,Estación Central,-70.68857593402966,-33.46930481736869,commercial,10,,,,15,0
,,,,,,,,0,Copec,fuel,,roof,,Estación Central,-70.69938640586287,-33.46263531068594,fuel,10,,0.0,84.0,20,0
,,,,,,,,0,Terpel,fuel,,roof,,Estación Central,-70.69698259411734,-33.461444918365025,fuel,10,,0.0,14.0,20,0
,,,,,,,,0,Copec,fuel,,roof,,Estación Central,-70.68967669941614,-33.458398851811246,fuel,10,,0.0,19.0,20,0
,,,,,,,,0,,,,commercial,,Estación Central,-70.71748413232966,-33.46990806711185,commercial,10,,,,15,0
,,,,,,,,0,,parking,,,,Estación Central,-70.69124788154086,-33.44476611435335,parking,25,,,,30,0
,,,,,,,,0,,parking,,,,Estación Central,-70.68692383672268,-33.44955602416896,parking,25,,,,30,0
,,,,,,,,0,,parking,,,,Estación Central,-70.68669466143527,-33.445919511918696,parking,25,,,,30,0
,,,,,,,,0,,,,office,,Estación Central,-70.69152450001636,-33.45455960004195,office,8,,,,14,0
,,,,,,,,0,,parking,,,,Estación Central,-70.68346993671626,-33.44866972620823,parking,25,,,,30,0
,,,,,,,,0,,parking,,,,Estación Central,-70.68336668278474,-33.447230402942324,parking,25,,,,30,0
,,,,,,,,0,,parking,,,,Estación Central,-70.68193531684041,-33.46181944137372,parking,25,,,,30,0
,,,,,,,,0,,,,commercial,,Estación Central,-70.6873569709601,-33.454780478830834,commercial,10,,,,15,0
,,,,,,,,0,,,,commercial,,Estación Central,-70.68835358828204,-33.45373890635621,commercial,10,,,,15,0
,,,,,,,,0,,parking,,,,Estación Central,-70.68458646771487,-33.46198292600101,parking,25,,,,30,0
,,,,,,,,0,,parking,,,,Estación Central,-70.6847245620374,-33.46226122599211,parking,25,,,,30,0
,,,,,,,,0,,parking,,,,Estación Central,-70.6864060772721,-33.46195016960743,parking,25,,,,30,0
